Code;Codelist Code;Codelist Extensible (Yes/No);Codelist Name;CDISC Submission Value;CDISC Preferred Term;CDISC Synonym(s);CDISC Definition;NCI Preferred Term;
C64828;C65047;;Laboratory Test Code;RETIRBC;RETIRBC;Reticulocytes/Erythrocytes;A relative measurement (ratio or percentage) of reticulocytes to erythrocytes in a biological specimen.;Reticulocyte To Erythrocyte Ratio;
C64829;C65047;;Laboratory Test Code;PRLYMLE;PRLYMLE;Prolymphocytes/Leukocytes;A relative measurement (ratio or percentage) of prolymphocytes to leukocytes in a biological specimen.;Prolymphocyte To Leukocyte Ratio;
C64830;C65047;;Laboratory Test Code;NEUTB;NEUTB;Neutrophils Band Form;A measurement of the banded neutrophils in a biological specimen.;Neutrophil Band Form Count;
C64831;C65047;;Laboratory Test Code;NEUTBLE;NEUTBLE;Neutrophils Band Form/Leukocytes;A relative measurement (ratio or percentage) of the banded neutrophils to leukocytes in a biological specimen.;Neutrophil Band Form To Leukocyte Ratio;
C64832;C65047;;Laboratory Test Code;SPGRAV;SPGRAV;Specific Gravity;A ratio of the density of a fluid to the density of water.;Specific Gravity;
C64840;C65047;;Laboratory Test Code;MG;MG;Magnesium;A measurement of the magnesium in a biological specimen.;Magnesium Measurement;
C64847;C65047;;Laboratory Test Code;GGT;GGT;Gamma Glutamyl Transferase;A measurement of the gamma glutamyl transferase in a biological specimen.;Gamma Glutamyl Transpeptidase Measurement;
C64848;C65047;;Laboratory Test Code;HGB;HGB;Hemoglobin;A measurement of the hemoglobin in a biological specimen.;Hemoglobin Measurement;
C64849;C65047;;Laboratory Test Code;HBA1C;HBA1C;Hemoglobin A1C;A measurement of the glycosylated hemoglobin in a biological specimen.;Glycosylated Hemoglobin Measurement;
C64850;C65047;;Laboratory Test Code;HBSAG;HBSAG;Hepatitis B Virus Surface Antigen;A measurement of the surface antigen reaction of a biological specimen to the Hepatitis B virus.;Hepatitis B Virus Surface Antigen Measurement;
C64851;C65047;;Laboratory Test Code;HCG;HCG;"Choriogonadotropin Beta; Pregnancy Test";A measurement of the Choriogonadotropin Beta in a biological specimen.;Choriogonadotropin Beta Measurement;
C64853;C65047;;Laboratory Test Code;K;K;Potassium;A measurement of the potassium in a biological specimen.;Potassium Measurement;
C64854;C65047;;Laboratory Test Code;KETONES;KETONES;Ketones;A measurement of the ketones in a biological specimen.;Ketone Measurement;
C64855;C65047;;Laboratory Test Code;LDH;LDH;Lactate Dehydrogenase;A measurement of the lactate dehydrogenase in a biological specimen.;Lactate Dehydrogenase Measurement;
C64856;C65047;;Laboratory Test Code;LEUKASE;LEUKASE;Leukocyte Esterase;A measurement of the enzyme which indicates the presence of white blood cells in a biological specimen.;Leukocyte Esterase Measurement;
C64857;C65047;;Laboratory Test Code;PHOS;PHOS;"Phosphate; Phosphorus";A measurement of the phosphate in a biological specimen.;Phosphate Measurement;
C64858;C65047;;Laboratory Test Code;PROT;PROT;Protein;A measurement of a group of complex organic macromolecules composed of one or more alpha-L-amino acid chains in a biological specimen.;Total Protein Measurement;
C17634;C65047;;Laboratory Test Code;PSA;PSA;Prostate Specific Antigen;A measurement of the prostate specific antigen in a biological specimen.;Prostate Specific Antigen Measurement;
C25747;C65047;;Laboratory Test Code;CREATCLR;CREATCLR;Creatinine Clearance;A measurement of the volume of serum or plasma that would be cleared of creatinine by excretion of urine for a specified unit of time (e.g. one minute).;Creatinine Clearance;
C74604;C65047;;Laboratory Test Code;HAIRYCE;HAIRYCE;Hairy Cells;A measurement of the hairy cells (b-cell lymphocytes with hairy projections from the cytoplasm) in a biological specimen.;Hairy Cell Count;
C74605;C65047;;Laboratory Test Code;BLAST;BLAST;Blasts;A measurement of the blast cells in a biological specimen.;Blast Count;
C74606;C65047;;Laboratory Test Code;CD19;CD19;CD19;A count of the CD19 B cells per unit of a biological specimen.;CD19 Expressing B Cell Count;
C74607;C65047;;Laboratory Test Code;CD3;CD3;CD3;A count of the CD3 T cells per unit of a biological specimen.;CD3 Expressing T Cell Count;
C74608;C65047;;Laboratory Test Code;CD4;CD4;CD4;A count of the CD4 T cells per unit of a biological specimen.;CD4 Expressing T Cell Count;
C74609;C65047;;Laboratory Test Code;CD8;CD8;CD8;A count of the CD8 T cells per unit of a biological specimen.;CD8 Expressing T Cell Count;
C74610;C65047;;Laboratory Test Code;DOHLE;DOHLE;Dohle Bodies;A measurement of the Dohle bodies (blue-gray, basophilic, leukocyte inclusions located in the peripheral cytoplasm of neutrophils) in a biological specimen.;Dohle Body Measurement;
C74611;C65047;;Laboratory Test Code;ESR;ESR;Erythrocyte Sedimentation Rate;The distance (e.g. millimeters) that red blood cells settle in unclotted blood over a specified unit of time (e.g. one hour).;Erythrocyte Sedimentation Rate Measurement;
C74612;C65047;;Laboratory Test Code;HYPSEGCE;HYPSEGCE;Hypersegmented Cells;A measurement of the hypersegmented (more than five lobes) neutrophils in a biological specimen.;Hypersegmented Neutrophil Measurement;
C74613;C65047;;Laboratory Test Code;LYMMCE;LYMMCE;Lymphoma Cells;A measurement of the malignant lymphocytes in a biological specimen.;Lymphoma Cell Count;
C74614;C65047;;Laboratory Test Code;MAYHEG;MAYHEG;May-Hegglin Anomaly;A measurement of the May-Hegglin anomaly in a blood sample. This anomaly is characterized by large, misshapen platelets and the presence of Dohle bodies in leukocytes.;May-Hegglin Anomaly Measurement;
C74615;C65047;;Laboratory Test Code;METAMY;METAMY;Metamyelocytes;A measurement of the metamyelocytes (small, myelocytic neutrophils with an indented nucleus) in a biological specimen.;Metamyelocyte Count;
C74616;C65047;;Laboratory Test Code;PAPPEN;PAPPEN;Pappenheimer Bodies;A measurement of the cells containing Pappenheimer Bodies (violet or blue staining ferritin granules usually found along the periphery of the red blood cells) in a biological specimen.;Pappenheimer Body Count;
C74617;C65047;;Laboratory Test Code;PELGERH;PELGERH;Pelger Huet Anomaly;A measurement of the Pelger Huet Anomaly (nuclei of neutrophils and eosinophils appear rod-like, spherical or dumbbell shaped) in a biological specimen.;Pelger Huet Anomaly Measurement;
C74618;C65047;;Laboratory Test Code;LYMPL;LYMPL;"Plasmacytoid Lymphocytes; Plymphocytes";A measurement of the plasmacytoid lymphocytes (lymphocytes with peripherally clumped chromatin and often deep blue cytoplasm, and that appear similar to plasma cells) in a biological specimen.;Plasmacytoid Lymphocyte Count;
C74619;C65047;;Laboratory Test Code;PLSPCE;PLSPCE;"Precursor Plasma Cells; Plasmablast";A measurement of the precursor (blast stage) plasma cells (antibody secreting cells derived from B cells via antigen stimulation) in a biological specimen.;Precursor Plasma Cell Count;
C74620;C65047;;Laboratory Test Code;PROLYM;PROLYM;Prolymphocytes;A measurement of the prolymphocytes in a biological specimen.;Prolymphocyte Count;
C74621;C65047;;Laboratory Test Code;PROMONO;PROMONO;Promonocytes;A measurement of the promonocytes in a biological specimen.;Promonocyte Count;
C74622;C65047;;Laboratory Test Code;PROMY;PROMY;Promyelocytes;A measurement of the promyelocytes (immature myelocytes) in a biological specimen.;Promyelocyte Count;
C74624;C65047;;Laboratory Test Code;ROULEAUX;ROULEAUX;Rouleaux Formation;A measurement of the number of stacking red blood cells within a biological specimen.;Rouleaux Formation Count;
C74625;C65047;;Laboratory Test Code;SEZCE;SEZCE;Sezary Cells;A measurement of the Sezary cells (atypical lymphocytes with cerebriform nuclei) in a biological specimen.;Sezary Cell Count;
C74626;C65047;;Laboratory Test Code;SCKLCE;SCKLCE;Sickle Cells;A measurement of the sickle cells (sickle shaped red blood cells) in a biological specimen.;Sickle Cell Count;
C74627;C65047;;Laboratory Test Code;SMDGCE;SMDGCE;"Smudge Cells; Basket Cells";A measurement of the smudge cells (the nuclear remnant of a ruptured white blood cell) in a biological specimen.;Smudge Cell Count;
C74628;C65047;;Laboratory Test Code;NEUTVAC;NEUTVAC;Vacuolated Neutrophils;A measurement of the neutrophils containing small vacuoles in a biological specimen.;Vacuolated Neutrophil Count;
C74630;C65047;;Laboratory Test Code;BLASTLM;BLASTLM;"Leukemic Blasts; Leukemic Lymphoblasts; Immunoblastic Lymphocytes";A measurement of the leukemic blasts (lymphoblasts that remain in an immature state even when outside the bone marrow) in a biological specimen.;Leukemic Blast Count;
C74631;C65047;;Laboratory Test Code;MONOBL;MONOBL;Monoblasts;A measurement of the monoblast cells in a biological specimen.;Monoblast Count;
C74632;C65047;;Laboratory Test Code;MYBLA;MYBLA;Myeloblasts;A measurement of the myeloblast cells in a biological specimen.;Myeloblast Count;
C74633;C65047;;Laboratory Test Code;ACANTRBC;ACANTRBC;Acanthocytes/Erythrocytes;A relative measurement (ratio or percentage) of acanthocytes to all erythrocytes in a biological specimen.;Acanthocyte to Erythrocyte Ratio Measurement;
C74634;C65047;;Laboratory Test Code;BTECERBC;BTECERBC;Bite Cells/Erythrocytes;A relative measurement (ratio or percentage) of bite cells (erythrocytes with the appearance of a bite having been removed, due to oxidative hemolysis) to all erythrocytes in a biological specimen .;Bite Cell to Erythrocyte Ratio Measurement;
C74635;C65047;;Laboratory Test Code;CD19LY;CD19LY;CD19/Lymphocytes;A relative measurement (ratio or percentage) of CD19 B cells to all lymphocytes in a biological specimen.;CD19 B Cell to Lymphocyte Ratio Measurement;
C74636;C65047;;Laboratory Test Code;CD3LY;CD3LY;CD3/Lymphocytes;A relative measurement (ratio or percentage) of CD3 T cells to all lymphocytes in a biological specimen.;CD3 T Cell to Lymphocyte Ratio Measurement;
C74637;C65047;;Laboratory Test Code;CD4CD8;CD4CD8;CD4/CD8;A relative measurement (ratio or percentage) of CD4 T cells to the CD8 T cells in a biological specimen.;CD4 T Cell to CD8 T Cell Ratio Measurement;
C74638;C65047;;Laboratory Test Code;CD4LY;CD4LY;CD4/Lymphocytes;A relative measurement (ratio or percentage) of CD4 T cells to all lymphocytes in a biological specimen.;CD4 T Cell to Lymphocyte Ratio Measurement;
C74639;C65047;;Laboratory Test Code;CD8LY;CD8LY;CD8/Lymphocytes;A relative measurement (ratio or percentage) of CD8 T cells to all lymphocytes in a biological specimen.;CD8 T Cell to Lymphocyte Ratio Measurement;
C74640;C65047;;Laboratory Test Code;HRYCELY;HRYCELY;Hairy Cells/Lymphocytes;A relative measurement (ratio or percentage) of the hairy cells (b-cell lymphocytes with hairy projections from the cytoplasm) to all lymphocytes in a biological specimen .;Hairy Cell to Lymphocyte Ratio Measurement;
C74641;C65047;;Laboratory Test Code;BLSTLMLY;BLSTLMLY;Leukemic Blasts/Lymphocytes;A relative measurement (ratio or percentage) of the leukemic blasts (immature lymphoblasts) to mature lymphocytes in a biological specimen.;Leukemic Blast to Lymphocyte Ratio Measurement;
C74643;C65047;;Laboratory Test Code;MLIGCEBC;MLIGCEBC;Malignant Cells, NOS/Blood Cells;A relative measurement (ratio or percentage) of the malignant cells of all types to all blood cells in a biological specimen.;Malignant Cell to Blood Cell Ratio Measurement;
C74645;C65047;;Laboratory Test Code;METAMYLE;METAMYLE;Metamyelocytes/Leukocytes;A relative measurement (ratio or percentage) of the metamyelocytes (small, myelocytic neutrophils with an indented nucleus) to all leukocytes in a biological specimen.;Metamyelocyte to Leukocyte Ratio Measurement;
C74646;C65047;;Laboratory Test Code;MONOBLLE;MONOBLLE;Monoblasts/Leukocytes;A relative measurement (ratio or percentage) of the monoblasts to leukocytes in a biological specimen.;Monoblast to Leukocyte Ratio Measurement;
C74647;C65047;;Laboratory Test Code;RBCNURBC;RBCNURBC;"Nucleated Erythrocytes/Erythrocytes; Nucleated Red Blood Cells/Erythrocytes";A relative measurement (ratio or percentage) of the nucleated erythrocytes (large, immature nucleated erythrocytes) to all erythrocytes in a biological specimen.;Nucleated Red Blood Cell to Erythrocyte Ratio Measurement;
C74648;C65047;;Laboratory Test Code;LYMPLLY;LYMPLLY;Plasmacytoid Lymphocytes/Lymphocytes;A relative measurement (ratio or percentage) of the plasmacytoid lymphocytes (lymphocytes with peripherally clumped chromatin and often deep blue cytoplasm, and that appear similar to plasma cells) to all lymphocytes in a biological specimen.;Plasmacytoid Lymphocyte to Lymphocyte Ratio Measurement;
C74649;C65047;;Laboratory Test Code;POIKRBC;POIKRBC;Poikilocytes/Erythrocytes;A relative measurement (ratio or percentage) of the poikilocytes, or irregularly shaped erythrocytes, to all erythrocytes in a biological specimen.;Poikilocyte to Erythrocyte Ratio Measurement;
C74650;C65047;;Laboratory Test Code;PLSPCELY;PLSPCELY;Precursor Plasma Cells/Lymphocytes;A relative measurement (ratio or percentage) of the precursor (blast stage) plasma cells (antibody secreting cells derived from B cells via antigen stimulation) to all lymphocytes in a biological specimen.;Precursor Plasma Cell to Lymphocyte Ratio Measurement;
